Steel Type,Chemical Composition (%),Heat Treatment,Test Temp (°C),Grain Size (µm),Phases,Dislocation Density (m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),Strain Hardening Exponent (n),"Strain Hardening Coefficient (K, MPa)"
D-01,"Cr:22.4, Ni:5.8, Mo:3.1, N:0.17, C:0.023, Si:0.4, Mn:1.2","Solution annealed 1080°C/1h, water quenched",25,15,Ferrite + Austenite,5.3×10¹⁴,580,795,290,26,10⁻³,0.28,1050
D-02,"Cr:23.1, Ni:5.5, Mo:2.9, N:0.18, C:0.018, Si:0.6, Mn:1.4","Solution annealed 1100°C/45min, water quenched",22,12,Ferrite + Austenite,4.8×10¹⁴,610,820,285,24,10⁻³,0.26,1100
D-03,"Cr:24.0, Ni:6.2, Mo:3.3, N:0.21, C:0.015, Si:0.5, Mn:0.9","Solution annealed 1120°C/1h, air cooled",20,18,Ferrite + Austenite,-,565,780,275,28,10⁻³,0.29,1030
D-04,"Cr:21.8, Ni:5.3, Mo:2.7, N:0.15, C:0.025, Si:0.3, Mn:1.3","Solution annealed 1050°C/30min, water quenched",27,10,Ferrite + Austenite,6.1×10¹⁴,590,810,295,23,10⁻²,0.25,1080
D-05,"Cr:22.8, Ni:5.9, Mo:3.0, N:0.16, C:0.02, Si:0.4, Mn:1.1","Solution annealed 1090°C/50min, water quenched",23,14,Ferrite + Austenite,5.0×10¹⁴,600,800,285,25,10⁻³,-,1070
D-06,"Cr:22.6, Ni:6.0, Mo:2.8, N:0.19, C:0.017, Si:0.5, Mn:1.0","Solution annealed 1075°C/55min, water quenched",24,13,Ferrite + Austenite,5.2×10¹⁴,595,805,288,25,10⁻³,0.27,1060
D-07,"Cr:23.5, Ni:6.3, Mo:3.2, N:0.2, C:0.016, Si:0.6, Mn:0.8","Solution annealed 1110°C/1h, water quenched",21,16,Ferrite + Austenite,4.9×10¹⁴,575,790,280,27,-,0.28,1040
D-08,"Cr:22.0, Ni:5.4, Mo:2.6, N:0.14, C:0.022, Si:0.3, Mn:1.2","Solution annealed 1060°C/40min, water quenched",26,11,Ferrite + Austenite,5.8×10¹⁴,605,815,292,24,10⁻³,0.26,1090
D-09,"Cr:23.8, Ni:6.1, Mo:3.4, N:0.22, C:0.014, Si:0.5, Mn:0.7","Solution annealed 1130°C/1h, water quenched",20,19,Ferrite + Austenite,4.6×10¹⁴,560,775,270,29,10⁻³,0.3,1020
D-10,"Cr:22.2, Ni:5.6, Mo:2.8, N:0.16, C:0.019, Si:0.4, Mn:1.3","Solution annealed 1070°C/50min, water quenched",25,-,Ferrite + Austenite,5.5×10¹⁴,585,800,287,25,10⁻³,0.27,1065
D-11,"Cr:22.9, Ni:5.5, Mo:2.9, N:0.17, C:0.021, Si:0.55, Mn:1.1","Annealed 1095°C/45min, oil quenched",24,14,Ferrite + Austenite,5.1×10¹⁴,590,795,283,26,10⁻³,0.28,-
D-12,"Cr:21.7, Ni:5.7, Mo:2.6, N:0.15, C:0.024, Si:0.35, Mn:1.4","Annealed 1040°C/40min, water quenched",28,9,Ferrite + Austenite,6.3×10¹⁴,615,825,298,22,10⁻²,0.24,1110
D-13,"Cr:24.2, Ni:6.4, Mo:3.5, N:0.23, C:0.013, Si:0.6, Mn:0.6","Annealed 1140°C/1h, water quenched",19,20,Ferrite + Austenite,4.4×10¹⁴,555,770,265,30,10⁻³,0.31,1010
D-14,"Cr:22.5, Ni:5.8, Mo:3.0, N:0.18, C:0.02, Si:0.5, Mn:1.0","Solution annealed 1085°C/55min, water quenched",23,13,Ferrite + Austenite,5.2×10¹⁴,595,805,-,26,10⁻³,0.27,1060
D-15,"Cr:22.1, Ni:5.4, Mo:2.7, N:0.15, C:0.023, Si:0.4, Mn:1.2","Annealed 1065°C/45min, water quenched",26,12,Ferrite + Austenite,5.7×10¹⁴,600,810,291,24,10⁻³,0.26,1085
D-16,"Cr:23.6, Ni:6.2, Mo:3.3, N:0.21, C:0.016, Si:0.55, Mn:0.8","Solution annealed 1120°C/1h, air cooled",21,17,Ferrite + Austenite,4.7×10¹⁴,570,785,275,28,10⁻³,0.29,1035
D-17,"Cr:22.3, Ni:5.6, Mo:2.9, N:0.17, C:0.021, Si:0.45, Mn:1.1","Annealed 1075°C/50min, brine quenched",24,14,Ferrite + Austenite,5.3×10¹⁴,590,800,286,25,10⁻³,0.27,1070
D-18,"Cr:21.9, Ni:5.3, Mo:2.7, N:0.16, C:0.024, Si:0.35, Mn:1.3","Solution annealed 1055°C/40min, water quenched",27,11,Ferrite + Austenite,5.9×10¹⁴,605,815,294,23,10⁻³,0.25,1095
D-19,"Cr:23.3, Ni:6.0, Mo:3.2, N:0.19, C:0.018, Si:0.5, Mn:0.9","Annealed 1105°C/1h, water quenched",22,16,Ferrite + Austenite,-,580,790,280,27,10⁻³,0.28,1045
D-20,"Cr:22.7, Ni:5.9, Mo:3.1, N:0.18, C:0.019, Si:0.45, Mn:1.0","Annealed 1090°C/55min, water quenched",23,15,Ferrite + Austenite,5.1×10¹⁴,590,800,285,26,10⁻³,0.27,1060
D-21,"Cr:24.1, Ni:6.3, Mo:3.4, N:0.22, C:0.014, Si:0.6, Mn:0.7","Solution annealed 1130°C/1h, water quenched",20,19,Ferrite + Austenite,4.5×10¹⁴,-,775,270,29,10⁻³,0.3,1015
D-22,"Cr:22.0, Ni:5.5, Mo:2.8, N:0.16, C:0.022, Si:0.4, Mn:1.2","Annealed 1070°C/45min, water quenched",25,13,Ferrite + Austenite,5.6×10¹⁴,595,805,290,25,10⁻³,0.26,1075
D-23,"Cr:23.8, Ni:6.2, Mo:3.3, N:0.21, C:0.015, Si:0.55, Mn:0.8","Solution annealed 1125°C/1h, water quenched",21,18,Ferrite + Austenite,4.7×10¹⁴,565,780,275,28,10⁻³,0.29,1030
D-24,"Cr:22.4, Ni:5.7, Mo:3.0, N:0.18, C:0.02, Si:0.45, Mn:1.1","Annealed 1080°C/50min, water quenched",24,14,Ferrite + Austenite,5.3×10¹⁴,585,800,285,26,-,0.27,1055
