Steel Type,Chemical Composition (%),Heat Treatment,Test Temp (°C),Grain Size (µm),Phases,Dislocation Density (m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),Strain Hardening Exponent (n),"Strain Hardening Coefficient (K, MPa)"
Duplex Steel,"Cr:22.000, Ni:5.500, Mo:3.000, N:0.150",Sol. Annealed 1080°C,25,15,Ferrite + Austenite,5×1013,450,700,220,35,0.001,0.2,950
Duplex Steel,"Cr:23.000, Ni:5.000, Mo:3.200, N:0.160",Sol. Annealed 1100°C,25,18,Ferrite + Austenite,3×1013,430,680,210,38,0.001,0.22,930
Duplex Steel,"Cr:21.500, Ni:5.800, Mo:3.000, N:0.140",Sol. Annealed 1050°C,100,12,Ferrite + Austenite,7×1013,470,720,230,32,0.005,0.19,980
Duplex Steel,"Cr:22.000, Ni:5.500, Mo:3.100, N:0.150",Aged 850°C 2h,25,16,Ferrite + Austenite + σ (trace),6×1013,500,750,245,28,0.001,0.18,1010
Duplex Steel,"Cr:22.500, Ni:5.200, Mo:3.000, N:0.170",Sol. Annealed 1080°C,-50,17,Ferrite + Austenite,4×1013,440,690,215,36,0.0005,0.21,940
Duplex Steel,"Cr:23.500, Ni:5.700, Mo:2.900, N:0.140",Sol. Annealed 1120°C,25,20,Ferrite + Austenite,2×1013,420,670,205,40,0.001,0.23,910
Duplex Steel,"Cr:21.000, Ni:5.300, Mo:3.300, N:0.160",Aged 800°C 3h,150,14,Ferrite + Austenite + X (trace),8×1013,510,760,250,26,0.01,0.17,1030
Duplex Steel,"Cr:22.800, Ni:5.600, Mo:3.000, N:0.150",Sol. Annealed 1090°C,25,19,Ferrite + Austenite,3.5×1013,435,685,212,37,0.001,0.22,925
Duplex Steel,"Cr:21.700, Ni:5.100, Mo:3.200, N:0.180",Sol. Annealed 1060°C,50,13,Ferrite + Austenite,6.5×1013,465,715,225,33,0.002,0.2,970
Duplex Steel,"Cr:22.300, Ni:5.900, Mo:3.100, N:0.140",Aged 875°C 1.5h,25,15.5,Ferrite + Austenite + σ (small),5.5×1013,495,745,240,29,0.001,0.19,1000
Duplex Steel,"Cr:23.200, Ni:5.400, Mo:3.000, N:0.160",Sol. Annealed 1110°C,-25,19.5,Ferrite + Austenite,2.5×1013,425,675,208,39,0.0008,0.23,915
Duplex Steel,"Cr:21.300, Ni:5.600, Mo:3.300, N:0.170",Sol. Annealed 1070°C,75,12.5,Ferrite + Austenite,7.5×1013,475,725,235,31,0.003,0.18,990
Duplex Steel,"Cr:22.600, Ni:5.300, Mo:3.100, N:0.150",Aged 825°C 2.5h,25,16.5,Ferrite + Austenite + X (small),6×1013,505,755,248,27,0.001,0.17,1020
Duplex Steel,"Cr:23.800, Ni:5.800, Mo:2.900, N:0.140",Sol. Annealed 1130°C,125,21,Ferrite + Austenite,1.5×1013,415,665,200,41,0.001,0.24,900
Duplex Steel,"Cr:21.900, Ni:5.200, Mo:3.200, N:0.160",Sol. Annealed 1055°C,0,13.5,Ferrite + Austenite,7×1013,460,710,222,34,0.004,0.21,960
