Steel Type,Chemical Composition (%),Heat Treatment,Test Temp (°C),Grain Size (µm),Phases,Dislocation Density (m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),Strain Hardening Exponent (n),"Strain Hardening Coefficient (K, MPa)"
Duplex Steel,"{'Fe': 55.03, 'Cr': 20.16, 'Ni': 5.69}",Quenched,200,22.23,Ferrite + Austenite,1.41E+14,472.32,671.06,278.76,13.76,0.0871,0.46,961.66
Duplex Steel,"{'Fe': 50.93, 'Cr': 21.79, 'Ni': 6.59}",Tempered,400,8.53,Ferrite + Martensite,8.08E+14,559.09,691.42,259.62,10.97,0.01,0.44,893.84
Duplex Steel,"{'Fe': 51.52, 'Cr': 20.19, 'Ni': 6.28}",Quenched,600,2.73,Ferrite + Austenite,3.56E+14,556.6,614.43,259.9,14.13,0.0268,0.14,680.56
Duplex Steel,"{'Fe': 54.09, 'Cr': 24.68, 'Ni': 5.92}",Quenched,600,9.07,Ferrite + Martensite,4.27E+14,511.87,761.77,266.04,22.61,0.0692,0.15,853.77
Duplex Steel,"{'Fe': 58.53, 'Cr': 20.3, 'Ni': 6.14}",Annealed,600,1.42,Ferrite + Martensite,3.12E+14,545.85,782.94,255.26,17.36,0.0101,0.45,568.95
Duplex Steel,"{'Fe': 57.34, 'Cr': 24.05, 'Ni': 7.51}",Tempered,400,1.71,Ferrite + Martensite,2.29E+14,549.6,705.9,288.55,10.36,0.0747,0.44,534.62
Duplex Steel,"{'Fe': 59.81, 'Cr': 21.94, 'Ni': 6.73}",Tempered,600,9.24,Ferrite + Austenite,2.70E+14,581.87,698.82,259.84,12.02,0.0039,0.34,505.82
Duplex Steel,"{'Fe': 51.97, 'Cr': 22.59, 'Ni': 6.28}",Quenched,400,5.83,Ferrite + Austenite,6.87E+14,560.85,780.98,226.13,10.59,0.0657,0.38,529.02
Duplex Steel,"{'Fe': 56.23, 'Cr': 20.25, 'Ni': 6.74}",Tempered,200,3.27,Ferrite + Austenite,2.80E+14,467.2,728.96,284.15,23.32,0.0649,0.29,785.05
Duplex Steel,"{'Fe': 53.12, 'Cr': 23.31, 'Ni': 5.61}",Annealed,400,4.43,Ferrite + Austenite,4.25E+14,589.03,658.94,227.71,15.72,0.0785,0.22,771.57
Duplex Steel,"{'Fe': 52.33, 'Cr': 24.67, 'Ni': 5.61}",Quenched,600,5.41,Ferrite + Martensite,3.72E+14,569.7,667.39,210.82,12.61,0.094,0.49,965.55
Duplex Steel,"{'Fe': 52.16, 'Cr': 24.2, 'Ni': 5.37}",Quenched,400,2.57,Ferrite + Martensite,2.18E+13,426.73,725.47,207.11,18.59,0.0294,0.16,505.38
Duplex Steel,"{'Fe': 53.86, 'Cr': 24.43, 'Ni': 5.67}",Quenched,25,8.54,Ferrite + Martensite,7.85E+14,543.15,706.19,253.03,19.7,0.0142,0.3,828.75
Duplex Steel,,Quenched,600,4.89,Ferrite + Austenite,8.78E+14,534.34,639.51,263.39,24.57,0.0568,0.32,738.17
Duplex Steel,"{'Fe': 57.07, 'Cr': 20.91, 'Ni': 5.52}",Quenched,25,1.5,Ferrite + Austenite,7.44E+14,490.73,673.71,226.08,27.91,0.0905,0.49,537.6
Duplex Steel,"{'Fe': 52.06, 'Cr': 22.76, 'Ni': 6.42}",Quenched,600,9.39,Ferrite + Austenite,8.61E+14,499.96,672.96,265.62,28.47,0.0589,0.19,953.83
Duplex Steel,"{'Fe': 55.74, 'Cr': 22.18, 'Ni': 5.5}",Annealed,600,2.65,Ferrite + Martensite,7.98E+14,570.39,677.43,230.23,27.11,0.0543,0.37,849.37
Duplex Steel,"{'Fe': 54.85, 'Cr': 22.7, 'Ni': 6.93}",Quenched,200,7.94,Ferrite + Martensite,2.77E+14,404.2,774.49,255.38,19.44,0.0764,0.49,532.03
Duplex Steel,"{'Fe': 52.23, 'Cr': 20.29, 'Ni': 5.7}",Annealed,200,8.5,Ferrite + Martensite,8.96E+14,514.45,787.78,297.32,16.14,0.0992,0.18,639.07
Duplex Steel,"{'Fe': 58.02, 'Cr': 23.49, 'Ni': 5.18}",Quenched,600,5.35,Ferrite + Martensite,9.15E+14,412.53,694.12,221.19,29.69,0.0909,0.19,975.62
Duplex Steel,"{'Fe': 56.29, 'Cr': 23.52, 'Ni': 7.41}",Tempered,600,6.52,Ferrite + Martensite,7.16E+13,425.65,621.36,294.17,10.06,0.0184,0.39,523.64
Duplex Steel,"{'Fe': 59.49, 'Cr': 23.25, 'Ni': 7.33}",Annealed,200,3.42,Ferrite + Martensite,6.36E+14,482.77,760.43,234.9,13.17,0.062,0.43,688.95
Duplex Steel,"{'Fe': 54.69, 'Cr': 23.79, 'Ni': 7.94}",Tempered,25,1.75,Ferrite + Austenite,8.04E+14,433.67,752.81,269.53,15.68,0.0556,0.35,734.67
Duplex Steel,"{'Fe': 55.03, 'Cr': 23.41, 'Ni': 7.45}",Tempered,600,1.2,Ferrite + Austenite,9.26E+14,496.28,631.61,263.85,21.14,0.0808,0.19,563.79
Duplex Steel,"{'Fe': 53.8, 'Cr': 22.72, 'Ni': 6.82}",Tempered,25,3.21,Ferrite + Austenite,6.33E+14,548.38,783.23,248.42,13.13,0.0814,0.26,552.22
Duplex Steel,"{'Fe': 52.6, 'Cr': 22.58, 'Ni': 7.18}",Tempered,600,7.55,Ferrite + Martensite,6.10E+14,529.76,712.92,275.2,26.97,0.0757,0.22,832.18
Duplex Steel,"{'Fe': 51.28, 'Cr': 22.9, 'Ni': 6.74}",Quenched,400,2.4,Ferrite + Austenite,1.83E+14,588.18,665.51,268.5,17.17,0.0619,0.21,871.89
Duplex Steel,"{'Fe': 56.29, 'Cr': 20.7, 'Ni': 7.01}",Tempered,400,5.09,Ferrite + Austenite,2.54E+14,435.93,718.19,214.69,16.52,0.0875,0.11,803.66
Duplex Steel,"{'Fe': 56.54, 'Cr': 23.13, 'Ni': 7.65}",Quenched,600,6.41,Ferrite + Austenite,1.20E+13,520.2,638.52,239.66,21.17,0.016,0.21,757.04
Duplex Steel,"{'Fe': 56.43, 'Cr': 23.68, 'Ni': 6.42}",Tempered,200,7.89,Ferrite + Austenite,5.64E+14,584.41,713.45,221.43,10.2,0.0855,0.13,797.06
Duplex Steel,"{'Fe': 57.34, 'Cr': 24.28, 'Ni': 7.34}",Annealed,400,3.18,Ferrite + Martensite,1.58E+14,554.45,718.19,258.51,12.07,0.0811,0.48,783.44
Duplex Steel,"{'Fe': 55.5, 'Cr': 24.33, 'Ni': 6.75}",Tempered,400,3.12,Ferrite + Austenite,3.55E+14,547.65,650.23,279.87,19.06,0.0738,0.21,924.15
